Zipcode,Black
32003,2248
32008,59
32009,50
32011,567
32024,1083
32025,5751
32026,1199
32033,900
32034,2362
32038,1041
32040,420
32043,2774
32044,75
32046,434
32052,3945
32053,637
32054,2379
32055,5496
32058,1023
32059,443
32060,3694
32061,0
32062,80
32063,1586
32064,2268
32065,7296
32066,1497
32068,4456
32071,98
32072,8
32073,10152
32079,10
32080,216
32081,258
32082,669
32083,1443
32084,5715
32086,741
32087,2133
32091,3096
32092,1988
32094,132
32095,577
32096,509
32097,2078
32102,152
32110,949
32112,908
32113,1114
32114,16941
32117,7801
32118,758
32119,2773
32124,1334
32127,1446
32128,1182
32129,1420
32130,122
32131,1041
32132,298
32133,0
32134,30
32136,232
32137,3545
32139,13
32140,0
32141,413
32145,1215
32147,0
32148,565
32157,0
32159,858
32162,274
32164,7449
32168,1522
32169,45
32174,2473
32176,398
32177,7270
32179,697
32180,257
32181,231
32187,454
32189,416
32190,127
32193,285
32195,168
32202,3677
32204,1932
32205,7841
32206,11671
32207,6485
32208,25269
32209,32813
32210,24782
32211,14501
32212,505
32216,8213
32217,2758
32218,33297
32219,7630
32220,2566
32221,10420
32222,4626
32223,946
32224,5143
32225,9174
32226,2554
32227,437
32228,66
32233,3112
32234,442
32244,22130
32246,9157
32250,855
32254,8204
32256,9351
32257,5504
32258,3780
32259,3059
32266,63
32277,14232
32301,15687
32303,17343
32304,19271
32305,12337
32308,5347
32309,3758
32310,8210
32311,6855
32312,3488
32317,1974
32320,807
32321,1371
32322,867
32323,0
32324,2559
32327,4629
32328,83
32330,291
32331,1367
32332,937
32333,4866
32334,8
32336,499
32340,5127
32343,2844
32344,4635
32346,0
32347,530
32348,3947
32350,107
32351,10258
32352,4380
32355,0
32356,0
32358,391
32359,0
32361,0
32399,0
32401,7052
32403,430
32404,6087
32405,5026
32407,733
32408,853
32409,69
32410,0
32413,472
32420,18
32421,55
32423,224
32424,2086
32425,1188
32426,532
32427,157
32428,2947
32430,0
32431,652
32432,0
32433,2267
32435,557
32437,278
32438,9
32439,412
32440,1902
32442,506
32443,1330
32444,2081
32445,910
32446,2533
32447,122
32448,3079
32449,0
32455,82
32456,1277
32459,329
32460,1688
32461,0
32462,504
32463,23
32464,61
32465,1518
32466,230
32501,6504
32502,946
32503,10378
32504,4766
32505,12242
32506,7914
32507,6012
32508,686
32509,245
32511,146
32514,9419
32526,5962
32530,0
32531,103
32533,5134
32534,4023
32535,2036
32536,3729
32539,4260
32541,718
32542,602
32544,264
32547,5082
32548,3643
32550,398
32561,126
32563,823
32564,18
32565,160
32566,3982
32567,363
32568,47
32569,1526
32570,2788
32571,1350
32577,172
32578,2047
32579,961
32580,644
32583,3878
32601,4723
32603,690
32605,3374
32606,2394
32607,6639
32608,7916
32609,8557
32612,771
32615,2897
32616,555
32617,822
32618,1457
32619,16
32621,462
32622,105
32625,0
32626,992
32628,1338
32631,0
32639,0
32640,2547
32641,10645
32643,1038
32648,24
32653,2562
32656,120
32658,98
32664,0
32666,676
32667,1138
32668,14
32669,2046
32680,323
32681,0
32683,3
32686,1385
32692,0
32693,1327
32694,335
32696,2080
32697,19
32701,4771
32702,204
32703,14885
32707,3623
32708,3231
32709,102
32712,7687
32713,1277
32714,6668
32720,4431
32724,3267
32725,6413
32726,5293
32730,760
32732,20
32735,314
32736,338
32738,6778
32744,115
32746,4161
32750,2107
32751,3958
32754,791
32757,4622
32759,325
32763,1842
32764,139
32765,6196
32766,1166
32767,1
32771,16518
32773,7755
32776,962
32778,3056
32779,1456
32780,6072
32784,710
32789,2057
32792,6107
32796,2560
32798,142
32801,1076
32803,1175
32804,1364
32805,14558
32806,2007
