Zipcode,NotHisp_Latino,Hisp_Latino
32003,26761,1915
32008,3997,428
32009,3544,117
32011,14395,114
32024,18063,1389
32025,21525,1891
32026,1779,223
32033,4262,414
32034,34256,2139
32038,9651,533
32040,7154,175
32043,24331,2412
32044,1711,0
32046,9162,256
32052,8753,674
32053,2916,622
32054,11169,642
32055,16004,586
32058,4306,62
32059,2173,245
32060,21835,2229
32061,514,0
32062,1629,197
32063,13190,292
32064,5839,1051
32065,31983,5212
32066,6353,1067
32068,52708,4597
32071,3660,243
32072,211,0
32073,36476,6044
32079,451,0
32080,21462,799
32081,13651,1205
32082,29425,1114
32083,3834,281
32084,32543,3218
32086,27670,1910
32087,6843,254
32091,14533,723
32092,33460,3554
32094,2357,218
32095,11239,561
32096,2093,93
32097,18077,953
32102,1919,364
32110,7326,941
32112,4591,3055
32113,4623,593
32114,30371,2476
32117,23771,2654
32118,16477,1043
32119,20382,1962
32124,5584,533
32127,28122,2276
32128,20108,1075
32129,20490,1695
32130,3993,1710
32131,4110,255
32132,7454,116
32133,17,0
32134,7239,515
32136,7970,336
32137,39397,4479
32139,832,139
32140,1427,12
32141,18008,1023
32145,5329,394
32147,790,0
32148,9506,1204
32157,350,13
32159,28296,1624
32162,54297,654
32164,41647,5694
32168,26858,821
32169,10023,205
32174,48202,2963
32176,13665,795
32177,25031,1814
32179,7602,317
32180,3016,1519
32181,2413,145
32187,1854,17
32189,5562,312
32190,496,813
32193,704,1
32195,2679,247
32202,6188,335
32204,7076,471
32205,27734,2571
32206,15321,706
32207,29725,5763
32208,30141,700
32209,33851,1094
32210,56780,5268
32211,31152,4505
32212,1989,477
32216,32535,5696
32217,17012,2887
32218,59815,4192
32219,12380,305
32220,12705,276
32221,28624,2276
32222,9559,1962
32223,22876,1695
32224,38175,5883
32225,50100,4918
32226,14688,979
32227,2807,530
32228,407,63
32233,22991,1988
32234,5518,349
32244,51589,7813
32246,43397,8192
32250,24920,2326
32254,12668,763
32256,42008,5935
32257,34836,4164
32258,31297,2739
32259,48453,3843
32266,6737,364
32277,29303,3024
32301,29465,1852
32303,46091,2416
32304,45392,4535
32305,19644,1258
32308,21005,1024
32309,29216,2381
32310,14308,1236
32311,20778,1486
32312,31346,1437
32317,13931,945
32320,3762,125
32321,5929,392
32322,3622,372
32323,137,0
32324,4365,351
32327,27523,1002
32328,3288,127
32330,445,206
32331,4111,82
32332,950,127
32333,10891,423
32334,2024,0
32336,1060,68
32340,10756,618
32343,3038,183
32344,11875,481
32346,1913,20
32347,7240,369
32348,11894,1041
32350,1164,108
32351,15870,2850
32352,5608,638
32355,234,10
32356,0,0
32358,1828,193
32359,1271,0
32361,383,0
32399,0,0
32401,20795,1232
32403,2287,492
32404,36672,2831
32405,29611,2628
32407,9870,952
32408,18005,859
32409,9707,437
32410,894,70
32413,13936,869
32420,1899,59
32421,4709,125
32423,911,55
32424,6852,662
32425,13270,316
32426,803,11
32427,1003,31
32428,16758,806
32430,1134,39
32431,3960,185
32432,0,0
32433,16824,1053
32435,7270,224
32437,843,0
32438,3611,211
32439,9000,1413
32440,7253,524
32442,3260,39
32443,3076,89
32444,20868,1295
32445,2171,326
32446,10581,534
32447,128,31
32448,8246,159
32449,552,0
32455,4043,38
32456,7856,180
32459,16260,953
32460,5246,444
32461,36,0
32462,3410,78
32463,216,0
32464,4265,102
32465,7446,516
32466,5593,202
32501,10663,471
32502,3218,113
32503,32372,1861
32504,21368,1194
32505,25231,1123
32506,34419,2245
32507,29397,1639
32508,3958,1425
32509,428,247
32511,801,233
32514,38693,3751
32526,36309,1161
32530,40,0
32531,5482,44
32533,28792,921
32534,13725,1017
32535,5855,239
32536,21771,2334
32539,27955,2176
32541,17307,1759
32542,2551,577
32544,1704,258
32547,29668,4662
32548,19681,2027
32550,7715,263
32561,9574,351
32563,24793,1119
32564,2829,130
32565,4995,19
32566,36559,3673
32567,3026,73
32568,2824,29
32569,11119,1538
32570,29746,1595
32571,34063,1457
32577,4293,97
32578,31250,1880
32579,9219,1119
32580,4178,313
32583,27844,1521
32601,17152,2211
32603,6066,883
32605,22545,3011
32606,21476,1966
32607,26115,4099
32608,43935,5724
32609,18586,1519
32612,5903,1261
32615,12599,1036
32616,1100,135
32617,4110,431
32618,8001,263
32619,5228,411
32621,4235,711
