geoid,Zipcode,Median_Income
86000US32003,32003,111651
86000US32008,32008,42172
86000US32009,32009,90500
86000US32011,32011,71701
86000US32024,32024,74137
86000US32025,32025,59197
86000US32026,32026,
86000US32033,32033,69541
86000US32034,32034,98304
86000US32038,32038,49238
86000US32040,32040,62037
86000US32043,32043,76895
86000US32044,32044,58903
86000US32046,32046,67442
86000US32052,32052,52128
86000US32053,32053,43077
86000US32054,32054,53873
86000US32055,32055,55085
86000US32058,32058,45156
86000US32059,32059,49653
86000US32060,32060,56615
86000US32061,32061,85375
86000US32062,32062,66447
86000US32063,32063,75769
86000US32064,32064,49444
86000US32065,32065,80491
86000US32066,32066,60188
86000US32068,32068,67148
86000US32071,32071,36797
86000US32072,32072,
86000US32073,32073,70537
86000US32079,32079,75875
86000US32080,32080,94231
86000US32081,32081,126826
86000US32082,32082,139932
86000US32083,32083,57083
86000US32084,32084,68473
86000US32086,32086,70106
86000US32087,32087,69167
86000US32091,32091,53381
86000US32092,32092,97053
86000US32094,32094,74226
86000US32095,32095,105603
86000US32096,32096,47614
86000US32097,32097,75417
86000US32102,32102,59219
86000US32110,32110,47462
86000US32112,32112,43163
86000US32113,32113,37212
86000US32114,32114,39984
86000US32117,32117,46098
86000US32118,32118,60607
86000US32119,32119,52166
86000US32124,32124,76944
86000US32127,32127,66180
86000US32128,32128,95453
86000US32129,32129,60822
86000US32130,32130,56905
86000US32131,32131,59274
86000US32132,32132,60911
86000US32133,32133,
86000US32134,32134,46327
86000US32136,32136,71014
86000US32137,32137,68711
86000US32139,32139,36667
86000US32140,32140,42083
86000US32141,32141,56325
86000US32145,32145,48929
86000US32147,32147,
86000US32148,32148,38611
86000US32157,32157,53140
86000US32159,32159,58492
86000US32162,32162,74226
86000US32164,32164,55469
86000US32168,32168,71644
86000US32169,32169,90679
86000US32174,32174,68178
86000US32176,32176,64951
86000US32177,32177,46431
86000US32179,32179,41771
86000US32180,32180,49364
86000US32181,32181,47661
86000US32187,32187,47574
86000US32189,32189,40714
86000US32190,32190,53188
86000US32193,32193,62700
86000US32195,32195,57599
86000US32202,32202,38590
86000US32204,32204,60809
86000US32205,32205,60879
86000US32206,32206,40572
86000US32207,32207,60315
86000US32208,32208,45093
86000US32209,32209,29088
86000US32210,32210,57594
86000US32211,32211,50223
86000US32212,32212,37115
86000US32216,32216,63803
86000US32217,32217,67589
86000US32218,32218,68165
86000US32219,32219,54618
86000US32220,32220,75262
86000US32221,32221,69423
86000US32222,32222,66912
86000US32223,32223,96932
86000US32224,32224,104324
86000US32225,32225,84784
86000US32226,32226,89312
86000US32227,32227,59479
86000US32228,32228,
86000US32233,32233,76882
86000US32234,32234,65110
86000US32244,32244,59779
86000US32246,32246,68119
86000US32250,32250,114897
86000US32254,32254,37591
86000US32256,32256,82088
86000US32257,32257,78984
86000US32258,32258,92795
86000US32259,32259,125033
86000US32266,32266,106687
86000US32277,32277,60658
86000US32301,32301,55602
86000US32303,32303,66920
