Zipcode,Below_Poverty_Percent,Below_Poverty_Total
32003,3.81,1089
32008,12.02,529
32009,4.22,154
32011,9.28,1338
32024,8.35,1617
32025,14.07,2665
32026,N/A,N/A
32033,23.57,1102
32034,9.55,3459
32038,16.13,1643
32040,19.44,1420
32043,10.80,2810
32044,27.94,478
32046,13.03,1210
32052,25.03,1535
32053,40.93,1448
32054,19.73,1618
32055,26.51,4272
32058,24.79,868
32059,17.48,408
32060,15.89,3663
32061,35.21,181
32062,11.14,200
32063,8.63,1070
32064,13.63,882
32065,7.97,2953
32066,13.03,770
32068,13.10,7470
32071,19.81,753
32072,20.85,44
32073,11.37,4763
32079,12.19,44
32080,9.65,2145
32081,1.33,198
32082,4.60,1396
32083,19.91,274
32084,18.99,6525
32086,9.09,2663
32087,9.47,483
32091,24.00,3553
32092,6.23,2280
32094,8.28,189
32095,6.15,717
32096,17.01,369
32097,13.52,2519
32102,18.83,430
32110,20.68,1640
32112,27.58,2087
32113,30.65,1575
32114,31.97,9647
32117,21.15,5483
32118,15.23,2667
32119,16.89,3759
32124,13.14,552
32127,15.04,4547
32128,10.08,2129
32129,15.32,3396
32130,16.83,960
32131,14.95,566
32132,11.66,879
32133,100.00,17
32134,27.64,2125
32136,10.34,859
32137,12.19,5296
32139,25.75,250
32140,20.85,300
32141,11.99,2276
32145,22.63,1235
32147,29.20,212
32148,27.16,2859
32157,2.20,8
32159,10.83,3211
32162,4.69,2572
32164,11.75,5527
32168,11.90,3287
32169,5.86,588
32174,8.46,4265
32176,12.05,1740
32177,25.17,6624
32179,23.13,1832
32180,24.05,1080
32181,30.19,771
32187,13.68,256
32189,24.67,1444
32190,16.50,216
32193,26.16,181
32195,11.89,348
32202,45.77,1748
32204,26.99,1941
32205,19.14,5777
32206,32.98,5220
32207,19.72,6961
32208,23.69,7283
32209,37.20,12760
32210,16.68,10314
32211,15.74,5560
32212,10.36,94
32216,20.20,7535
32217,13.74,2689
32218,13.71,8628
32219,16.54,2068
32220,14.96,1929
32221,12.22,3746
32222,13.86,1588
32223,5.84,1434
32224,7.55,3008
32225,7.17,3935
32226,6.11,954
32227,3.31,56
32228,N/A,N/A
32233,8.21,1883
32234,9.69,566
32244,15.07,8883
32246,12.30,6326
32250,7.23,1951
32254,29.42,3818
32256,9.12,4357
32257,7.89,3047
32258,6.41,2158
32259,2.87,1497
32266,9.18,650
32277,11.57,3621
32301,24.28,7125
32303,18.49,8924
32304,56.03,23772
32305,24.45,4984
32308,10.29,2186
32309,5.56,1756
32310,28.16,4195
32311,4.77,1014
32312,6.28,2058
32317,5.30,783
32320,16.42,633
32321,18.71,921
32322,21.81,544
32323,17.52,24
32324,31.94,1419
32327,11.61,2911
32328,20.33,680
32330,26.88,175
32331,29.18,1184
32332,31.20,336
32333,17.74,1890
32334,11.99,242
32336,26.54,298
32340,28.98,2724
32343,4.90,157
32344,17.62,1798
32346,19.76,382
32347,20.39,1489
32348,21.37,1975
32350,16.75,213
32351,30.81,5023
32352,11.01,681
32355,32.79,80
32356,N/A,N/A
32358,9.70,196
32359,15.74,200
32361,0.00,0
32399,N/A,N/A
32401,25.54,5538
32403,2.92,70
32404,13.32,5148
32405,16.89,5372
32407,8.79,938
32408,15.17,2851
32409,11.70,1185
32410,8.09,78
32413,7.92,1172
32420,17.06,331
32421,14.71,711
32423,2.90,28
32424,16.55,906
32425,24.76,2917
32426,20.96,170
32427,35.33,360
32428,22.77,3356
32430,12.87,151
32431,19.39,798
32432,N/A,N/A
32433,23.37,3778
32435,16.06,1174
32437,51.01,430
32438,36.58,1363
32439,10.82,1126
32440,20.72,1098
32442,15.08,493
32443,23.85,755
32444,10.16,2249
32445,31.48,385
32446,14.34,1387
32447,N/A,N/A
32448,27.83,2307
32449,1.09,6
32455,17.06,684
32456,10.59,836
32459,6.09,1045
32460,15.67,537
32461,0.00,0
32462,19.58,683
32463,28.70,62
32464,20.47,894
32465,15.34,868
32466,5.83,336
32501,30.84,3024
32502,18.25,608
32503,15.96,4687
32504,16.78,3745
32505,22.81,5944
32506,14.77,5391
32507,13.69,4178
32508,7.05,85
32509,N/A,N/A
32511,N/A,N/A
32514,16.48,6605
32526,6.00,2221
32530,0.00,0
32531,17.92,987
32533,5.27,1553
32534,13.72,2010
32535,12.80,561
32536,10.21,2451
32539,13.66,3761
32541,8.43,1592
32542,19.24,398
32544,10.55,116
32547,13.26,4503
32548,15.16,3268
32550,8.26,653
32561,5.80,573
32563,5.86,1502
32564,9.69,282
32565,7.04,345
32566,9.53,3823
32567,13.52,418
32568,11.29,322
32569,7.75,981
32570,13.79,4256
32571,8.96,3167
32577,6.65,292
32578,4.95,1636
32579,9.58,984
32580,13.46,570
32583,11.42,2722
32601,42.39,7652
32603,53.88,1978
32605,9.57,2439
32606,7.11,1659
32607,31.33,9393
32608,27.26,13365
32609,23.56,4492
32612,0.00,0
32615,12.09,1642
32616,47.37,585
32617,19.93,905
32618,12.22,1010
32619,21.25,1179
32621,12.43,597
32622,21.39,219
32625,15.83,264
32626,26.22,2297
32628,18.79,707
32631,0.00,0
32639,0.00,0
32640,16.07,1811
32641,27.90,4035
32643,14.13,1646
32648,0.00,0
32653,10.42,1460
32656,12.51,1892
32658,15.73,59
32664,4.23,16
32666,17.30,1153
32667,12.84,558
32668,15.07,705
32669,7.20,1010
32680,24.30,2438
32681,0.00,0
32683,36.57,98
32686,16.71,786
32692,8.13,13
32693,18.69,1961
32694,17.70,358
32696,19.49,2395
32697,37.94,96
32701,14.59,3317
32702,22.82,622
32703,15.60,8308
32707,14.35,5158
32708,8.17,3691
32709,4.53,83
32712,8.31,3981
32713,9.01,1860
32714,12.01,4537
32720,13.14,4082
32724,17.24,6169
32725,11.00,5460
32726,19.90,4406
32730,17.49,1033
32732,7.91,362
32735,3.32,157
32736,5.78,625
32738,13.88,6321
32744,9.94,375
32746,6.67,2999
32750,8.75,2167
32751,12.50,2787
32754,15.69,1719
32757,12.71,3509
32759,22.10,666
32763,12.19,2793
32764,7.27,230
32765,9.80,6209
32766,5.24,879
32767,17.13,569
32771,15.42,8621
32773,15.59,4731
32776,6.31,756
32778,11.24,2423
32779,6.21,1830
32780,14.81,5324
32784,12.85,1589
32789,7.77,1939
32792,16.83,8591
32796,16.42,3341
32798,1.42,41
32801,19.74,2366
32803,8.74,1757
32804,10.33,1805
32805,27.43,5023
32806,13.67,3684
32807,18.02,6219
32808,27.19,15916
32809,20.58,5903
32810,17.57,6635
32811,21.56,8794
32812,15.34,5489
32814,6.09,485
32817,18.49,6293
32818,20.93,12098
32819,9.82,2667
32820,11.14,1149
32821,11.85,2086
32822,22.81,14055
32824,9.65,4481
32825,14.07,8596
32826,22.30,4671
32827,8.20,770
32828,11.18,7748
32829,6.92,1405
32830,0.00,0
32831,0.00,0
32832,6.86,1915
32833,8.02,791
32835,11.49,5494
32836,6.68,1339
32837,12.56,6416
32839,20.79,10313
32901,22.65,5230
32903,6.17,896
32904,10.58,3359
32905,17.68,4066
32907,9.88,4422
32908,15.92,2133
32909,13.34,4139
32920,10.08,1030
32922,28.67,4788
32925,11.39,154
32926,13.35,2827
32927,12.13,3275
32931,5.86,806
32934,5.92,1121
32935,14.99,6153
32937,8.16,2244
32940,4.99,2085
32948,13.30,1006
32949,3.65,90
32950,9.50,429
32951,5.33,638
32952,7.03,1462
32953,12.88,3033
32955,7.04,2722
32958,11.31,3236
32960,13.64,2862
32962,11.30,2988
32963,4.05,608
32966,9.02,1651
32967,18.38,4103
32968,6.19,793
32970,46.34,171
32976,11.41,1037
33001,20.54,68
33004,18.94,3014
33009,20.18,8372
33010,21.91,9826
33012,25.65,18879
33013,23.04,7248
33014,20.29,8494
33015,14.59,9783
33016,16.15,8328
33018,9.44,5039
33019,8.84,1210
33020,18.56,8246
33021,9.61,4723
33023,15.20,11209
33024,10.55,8056
33025,11.94,8696
33026,6.83,2171
33027,11.86,7199
33028,4.35,1166
33029,5.23,2513
33030,28.56,9993
33031,5.80,413
33032,19.66,9815
33033,22.26,12949
33034,41.48,8106
33035,18.51,2973
33036,9.60,333
33037,15.93,1720
33039,21.43,60
33040,11.13,3732
33042,7.06,466
33043,11.00,535
33050,11.56,1085
33051,0.75,4
33054,34.82,10708
33055,20.44,8248
33056,22.70,8153
33060,25.27,9380
33062,10.50,2362
33063,11.80,6420
33064,18.42,11035
33065,14.06,8134
33066,8.65,1448
33067,3.55,968
33068,18.19,9567
33069,14.82,3725
33070,4.34,217
33071,9.04,3556
33073,7.69,2678
33076,4.61,1797
33101,N/A,N/A
33109,10.29,42
33122,10.73,22
33125,29.79,17484
33126,21.54,11373
33127,31.59,9916
33128,32.83,2478
33129,12.95,1780
33130,23.89,7064
33131,8.24,1522
33132,12.87,1614
33133,15.01,5330
33134,10.48,4206
33135,26.12,10110
33136,37.56,5839
33137,15.65,3520
33138,16.56,4988
33139,15.45,5999
33140,7.88,1554
33141,14.41,5704
33142,34.06,19866
33143,11.17,3454
33144,12.50,3656
33145,12.04,3686
33146,7.91,931
33147,28.77,13687
33149,4.89,633
33150,29.91,8775
33154,11.59,1696
33155,12.74,5902
33156,7.63,2555
33157,13.67,9155
33158,1.96,127
33160,11.82,4668
33161,23.12,12525
33162,16.93,7936
33165,14.03,7804
33166,12.49,2810
33167,21.06,4334
33168,16.34,4415
33169,17.77,7336
33170,21.79,3049
33172,12.69,5492
33173,10.68,3499
33174,14.18,4475
33175,12.41,6604
33176,9.12,4744
33177,12.74,7138
33178,13.02,6791
33179,11.48,5068
33180,8.09,2605
33181,15.86,3131
33182,5.62,775
33183,13.34,4881
33184,10.13,2207
33185,7.48,2341
33186,11.73,8017
33187,8.05,1557
33189,11.17,2818
33190,13.40,2157
33193,13.57,6761
33194,7.03,432
33196,9.34,4952
33301,5.20,739
33304,16.52,3025
33305,7.34,888
33306,6.43,201
33308,7.55,2043
33309,17.37,7044
33311,30.56,23019
33312,15.82,8618
33313,20.55,12786
33314,19.55,5105
33315,13.32,1831
33316,12.69,1210
33317,14.65,5616
33319,14.60,6804
33321,11.81,5560
33322,10.48,4093
33323,3.40,734
33324,9.44,4619
33325,7.47,2191
33326,6.85,2269
33327,7.40,1762
33328,8.42,2474
33330,5.85,921
33331,3.38,869
33332,3.90,452
33334,17.15,5051
33351,12.47,4385
33401,17.30,4674
33403,14.69,1877
33404,23.93,6994
33405,19.31,3971
33406,9.01,2334
33407,23.30,7245
