State,Zipcode,Recipients_Total,Grants_Total
Florida,32003,4,388781.2
Florida,32008,1,19010.56
Florida,32011,1,36330
Florida,32024,3,161550.52
Florida,32025,3,106791.72
Florida,32033,1,6860.95
Florida,32034,11,2536967.13
Florida,32038,1,2013
Florida,32043,2,72298.76
Florida,32052,1,70484.59
Florida,32054,1,297764
Florida,32055,3,277577.13
Florida,32058,1,56583.1
Florida,32060,1,232198
Florida,32063,3,309493
Florida,32065,5,660056.72
Florida,32066,3,159953.71
Florida,32068,3,255787.6
Florida,32073,14,5812029.66
Florida,32080,12,2724122.62
Florida,32081,3,1539105.27
Florida,32082,4,200021.19
Florida,32084,17,3238677.09
Florida,32086,9,1797313.3
Florida,32091,1,10241
Florida,32092,6,1259589.5
Florida,32095,1,46609
Florida,32096,1,10792.5
Florida,32097,3,293946
Florida,32110,2,74112
Florida,32114,11,4674439.47
Florida,32117,5,410378.94
Florida,32118,14,3242774.69
Florida,32119,2,93160
Florida,32127,8,2179296.59
Florida,32128,2,2029637
Florida,32129,2,167178
Florida,32132,3,314839.53
Florida,32136,6,584558.51
Florida,32137,9,882935.24
Florida,32148,1,5638.27
Florida,32159,5,526641.43
Florida,32162,15,8686094.22
Florida,32163,6,1795949.63
Florida,32164,5,774410.03
Florida,32168,7,662302.03
Florida,32169,1,33174
Florida,32174,10,1582532.72
Florida,32176,5,412198.98
Florida,32177,5,1863726.08
Florida,32179,1,199024.22
Florida,32202,15,3016385.05
Florida,32204,11,1958861.55
Florida,32205,6,2123750.74
Florida,32206,5,208960.72
Florida,32207,19,2174536.35
Florida,32208,1,2418.13
Florida,32210,9,1400752.67
Florida,32211,3,164573.25
Florida,32216,12,695973.55
Florida,32217,7,425832.21
Florida,32218,13,1525835.61
Florida,32219,1,2895.95
Florida,32220,1,67838.72
Florida,32221,2,18879.11
Florida,32222,3,26659.97
Florida,32223,6,1474875.23
Florida,32224,9,1447638.79
Florida,32225,19,2934390.02
Florida,32226,1,123823.07
Florida,32233,12,1227022.96
Florida,32244,5,757694.38
Florida,32246,9,1826411.69
Florida,32250,13,6271212
Florida,32256,21,2700133.37
Florida,32257,11,1541185.1
Florida,32258,3,514626
Florida,32259,10,2105699.98
Florida,32277,6,398004.34
Florida,32301,27,2417719.12
Florida,32303,30,5775854.79
Florida,32304,18,4286304.88
Florida,32305,1,33570.67
Florida,32308,4,417521.83
Florida,32309,4,2215317.72
Florida,32310,6,462009.62
Florida,32311,4,330351.89
Florida,32312,9,1330790.11
Florida,32317,1,2341
Florida,32320,3,1169272.45
Florida,32321,1,452026.04
Florida,32327,1,30180.18
Florida,32328,1,49717.44
Florida,32333,1,88762.16
Florida,32340,1,330953.42
Florida,32343,1,30514
Florida,32344,3,173223.04
Florida,32348,4,372700.34
Florida,32350,1,291341.76
Florida,32351,3,179638.5
Florida,32359,1,75069
Florida,32399,1,156490.75
Florida,32401,4,302306.97
Florida,32404,4,423752.92
Florida,32405,3,314892.16
Florida,32407,5,1214315.45
Florida,32408,10,1092149.55
Florida,32413,7,591292.68
Florida,32421,1,53989.09
Florida,32424,1,48455
Florida,32439,2,200367.57
Florida,32444,2,800877.95
Florida,32446,2,311774.37
Florida,32448,1,32879.52
Florida,32456,1,85361
Florida,32459,5,529252.58
Florida,32460,1,130733.43
Florida,32465,3,167549.07
Florida,32501,4,961850.82
Florida,32502,20,10286784.84
Florida,32503,9,1150269.43
Florida,32504,7,1711833.03
Florida,32505,1,30731.25
Florida,32506,4,521597.97
Florida,32507,2,71992.25
Florida,32514,5,457314.53
Florida,32526,2,87446.24
Florida,32533,1,32363.33
Florida,32534,3,1234319.52
Florida,32536,6,539001.91
Florida,32541,10,1418164.21
Florida,32547,5,635447.67
Florida,32548,5,1821602.5
Florida,32550,5,646581.73
Florida,32561,9,3038199.77
Florida,32563,1,74741
Florida,32566,7,818753.6
Florida,32567,2,469069
Florida,32569,4,599347.97
Florida,32570,2,178298.99
Florida,32571,8,1971823.81
Florida,32578,4,377197
Florida,32579,1,65337
Florida,32583,1,192716.85
Florida,32601,21,3311088.17
Florida,32603,7,2819633
Florida,32605,10,1257557.39
Florida,32606,7,596582.63
Florida,32607,8,1718086.11
Florida,32608,17,3024798.6
Florida,32609,6,792856.25
Florida,32615,2,9535.83
Florida,32618,1,80488.08
Florida,32625,1,90617
Florida,32626,2,529271.11
Florida,32628,1,13714
Florida,32640,2,109437.41
Florida,32641,1,29593
Florida,32643,2,78358
Florida,32666,2,319562.77
Florida,32667,1,20162.22
Florida,32669,1,10761.78
Florida,32696,1,160726
Florida,32701,5,408308.25
Florida,32703,8,1314978.87
Florida,32704,1,8800.4
Florida,32707,7,855441.39
Florida,32708,7,863663.98
Florida,32712,6,349895.54
Florida,32713,4,296188.72
Florida,32714,7,3601215.11
Florida,32720,15,1492905.01
Florida,32724,5,209561.14
Florida,32725,3,181507.28
Florida,32726,10,2304459.72
Florida,32732,1,97268.24
Florida,32736,3,164374
Florida,32738,4,110549.84
Florida,32746,19,4292899.21
Florida,32750,21,2676471.03
Florida,32751,18,3552795.32
Florida,32757,11,1609598.19
Florida,32763,4,626297.68
Florida,32764,1,51636
Florida,32765,18,5334556.35
Florida,32766,3,201144.62
Florida,32771,17,2128699.3
Florida,32773,4,320154.29
Florida,32776,2,461627.31
Florida,32777,1,1211133
Florida,32778,1,1380
Florida,32779,3,119583.3
Florida,32780,7,799768.36
Florida,32784,1,59473.09
Florida,32789,16,2524723.9
Florida,32792,19,2346403.38
Florida,32796,4,450752.33
Florida,32798,1,115536
Florida,32801,43,20690226.93
Florida,32803,32,8256237.53
Florida,32804,12,1651759.79
Florida,32805,11,1014884.32
Florida,32806,12,1701898.16
Florida,32807,13,1627062.82
Florida,32808,14,2209323.58
Florida,32809,27,8585575.57
Florida,32810,11,9689721.04
Florida,32811,9,1787252.9
Florida,32812,4,101655.31
Florida,32814,3,501654.25
Florida,32817,9,420141.75
Florida,32818,10,2827559.92
Florida,32819,55,38980224.18
Florida,32820,1,21474
Florida,32821,18,5497391.63
Florida,32822,13,1853591.16
Florida,32824,5,4132486.34
Florida,32825,7,744677.16
Florida,32826,3,413439.66
Florida,32827,8,707467.68
Florida,32828,11,1128015.81
Florida,32829,3,206287.31
Florida,32830,2,14430815
Florida,32832,6,551728.94
Florida,32835,8,1714754.52
Florida,32836,11,3739735.38
Florida,32837,18,2638779.27
Florida,32839,13,5564942.55
Florida,32859,1,6201.46
Florida,32869,1,277571.45
Florida,32899,2,896010.5
Florida,32901,13,6183412.57
Florida,32903,4,752642
Florida,32904,7,1938007.35
Florida,32905,5,779170.36
Florida,32907,1,49465.64
Florida,32908,1,10758.1
Florida,32920,6,548638.02
Florida,32922,3,767697.35
Florida,32926,1,432564.82
Florida,32927,1,13456
Florida,32931,17,4715279.08
Florida,32934,2,378703.28
Florida,32935,10,797044.26
Florida,32937,11,1978787.45
Florida,32940,15,2065488.25
Florida,32949,2,175708.5
Florida,32950,1,317874.6
Florida,32951,3,441678.5
Florida,32952,6,682362.24
Florida,32953,5,907198.97
Florida,32955,7,1102268.16
Florida,32958,8,550145.03
Florida,32960,17,3518053.24
Florida,32962,1,64017
Florida,32963,6,1250952.01
Florida,32966,5,357435.74
Florida,32967,1,6301
Florida,32976,1,237847
Florida,33004,11,2482741.38
Florida,33009,19,4995197.88
Florida,33010,9,1625820.94
Florida,33012,26,6697709.61
Florida,33013,6,919668.19
Florida,33014,10,1708036.09
Florida,33015,14,2037964.75
Florida,33016,12,1397437.85
Florida,33018,8,550224.89
Florida,33019,9,3042896.96
Florida,33020,17,2939469.76
Florida,33021,28,4129716.22
Florida,33023,10,427905.49
Florida,33024,21,5538036.98
Florida,33025,14,2034440.2
Florida,33026,11,1461351.19
Florida,33027,18,5405012.25
Florida,33028,2,421533
Florida,33029,8,665220.81
Florida,33030,8,596464.78
Florida,33031,1,170494
Florida,33032,5,329683.99
Florida,33033,12,963363.51
Florida,33034,1,93329
Florida,33036,1,47035
Florida,33037,13,4260424.65
Florida,33040,45,22733973.44
Florida,33042,1,172124.2
Florida,33043,2,113805.83
Florida,33050,7,1258197.7
Florida,33051,2,163081
Florida,33054,7,2090924.5
Florida,33055,2,81789.96
Florida,33056,2,327404
Florida,33060,11,1016815.46
Florida,33062,17,4397627.62
Florida,33063,11,859268.2
Florida,33064,11,2136737.7
Florida,33065,19,3697381.01
Florida,33067,14,2860614.74
Florida,33068,5,480329.4
Florida,33069,11,1681117.41
Florida,33070,2,1271126.33
Florida,33071,14,1969729.22
Florida,33073,16,2348885.36
Florida,33076,14,1710450.25
Florida,33101,1,695983.79
Florida,33122,8,2914698.18
Florida,33125,9,6109666.67
Florida,33126,20,9089160.56
Florida,33127,42,28146756.32
Florida,33128,6,1558598.28
Florida,33129,2,453190
Florida,33130,27,21963527.56
Florida,33131,34,15369611.85
Florida,33132,34,8957337.13
Florida,33133,22,9336360.24
Florida,33134,35,10446552.74
Florida,33135,15,3295741.06
Florida,33136,8,2473549.35
Florida,33137,26,11885541.63
Florida,33138,19,6675083.46
Florida,33139,70,51547752.82
Florida,33140,7,1338135.71
Florida,33141,17,7705064.41
Florida,33142,9,2102270.75
Florida,33143,22,7700813.39
Florida,33144,11,5260194.35
Florida,33145,14,3237790.67
Florida,33146,9,2353953.71
Florida,33147,5,359801.7
Florida,33149,6,1618459.75
Florida,33150,6,915566.32
Florida,33154,6,1600216.38
Florida,33155,16,5957596.28
Florida,33156,22,8420958.33
Florida,33157,17,2270015.77
Florida,33158,2,297240.5
Florida,33160,16,9243738.7
Florida,33161,6,522929.6
Florida,33162,11,1372427.1
Florida,33165,21,2777603.77
Florida,33166,26,5548638.38
Florida,33167,2,312040.08
Florida,33168,1,240823.08
Florida,33169,6,223188.77
