Zipcode,Total
32003,28676
32008,4425
32009,3661
32011,14509
32024,19452
32025,23416
32026,2002
32033,4676
32034,36395
32038,10184
32040,7329
32043,26743
32044,1711
32046,9418
32052,9427
32053,3538
32054,11811
32055,16590
32058,4368
32059,2418
32060,24064
32061,514
32062,1826
32063,13482
32064,6890
32065,37195
32066,7420
32068,57305
32071,3903
32072,211
32073,42520
32079,451
32080,22261
32081,14856
32082,30539
32083,4115
32084,35761
32086,29580
32087,7097
32091,15256
32092,37014
32094,2575
32095,11800
32096,2186
32097,19030
32102,2283
32110,8267
32112,7646
32113,5216
32114,32847
32117,26425
32118,17520
32119,22344
32124,6117
32127,30398
32128,21183
32129,22185
32130,5703
32131,4365
32132,7570
32133,17
32134,7754
32136,8306
32137,43876
32139,971
32140,1439
32141,19031
32145,5723
32147,790
32148,10710
32157,363
32159,29920
32162,54951
32164,47341
32168,27679
32169,10228
32174,51165
32176,14460
32177,26845
32179,7919
32180,4535
32181,2558
32187,1871
32189,5874
32190,1309
32193,705
32195,2926
32202,6523
32204,7547
32205,30305
32206,16027
32207,35488
32208,30841
32209,34945
32210,62048
32211,35657
32212,2466
32216,38231
32217,19899
32218,64007
32219,12685
32220,12981
32221,30900
32222,11521
32223,24571
32224,44058
32225,55018
32226,15667
32227,3337
32228,470
32233,24979
32234,5867
32244,59402
32246,51589
32250,27246
32254,13431
32256,47943
32257,39000
32258,34036
32259,52296
32266,7101
32277,32327
32301,31317
32303,48507
32304,49927
32305,20902
32308,22029
32309,31597
32310,15544
32311,22264
32312,32783
32317,14876
32320,3887
32321,6321
32322,3994
32323,137
32324,4716
32327,28525
32328,3415
32330,651
32331,4193
32332,1077
32333,11314
32334,2024
32336,1128
32340,11374
32343,3221
32344,12356
32346,1933
32347,7609
32348,12935
32350,1272
32351,18720
32352,6246
32355,244
32356,0
32358,2021
32359,1271
32361,383
32399,0
32401,22027
32403,2779
32404,39503
32405,32239
32407,10822
32408,18864
32409,10144
32410,964
32413,14805
32420,1958
32421,4834
32423,966
32424,7514
32425,13586
32426,814
32427,1034
32428,17564
32430,1173
32431,4145
32432,0
32433,17877
32435,7494
32437,843
32438,3822
32439,10413
32440,7777
32442,3299
32443,3165
32444,22163
32445,2497
32446,11115
32447,159
32448,8405
32449,552
32455,4081
32456,8036
32459,17213
32460,5690
32461,36
32462,3488
32463,216
32464,4367
32465,7962
32466,5795
32501,11134
32502,3331
32503,34233
32504,22562
32505,26354
32506,36664
32507,31036
32508,5383
32509,675
32511,1034
32514,42444
32526,37470
32530,40
32531,5526
32533,29713
32534,14742
32535,6094
32536,24105
32539,30131
32541,19066
32542,3128
32544,1962
32547,34330
32548,21708
32550,7978
32561,9925
32563,25912
32564,2959
32565,5014
32566,40232
32567,3099
32568,2853
32569,12657
32570,31341
32571,35520
32577,4390
32578,33130
32579,10338
32580,4491
32583,29365
32601,19363
32603,6949
32605,25556
32606,23442
32607,30214
32608,49659
32609,20105
32612,7164
32615,13635
32616,1235
32617,4541
32618,8264
32619,5639
32621,4946
32622,1032
32625,1686
32626,8782
32628,5380
32631,155
32639,194
32640,11299
32641,14959
32643,11666
32648,392
32653,14030
32656,15150
32658,375
32664,391
32666,6664
32667,4352
32668,4678
32669,14037
32680,10139
32681,31
32683,268
32686,4737
32692,160
32693,11882
32694,2023
32696,12436
32697,253
32701,22940
32702,2796
32703,53763
32707,36036
32708,45323
32709,1832
32712,48151
32713,20892
32714,37981
32720,32421
32724,36961
32725,49923
32726,22485
32730,5943
32732,4576
32735,4728
32736,10848
32738,45611
32744,3807
32746,45244
32750,25025
32751,22471
32754,10984
32757,27990
32759,3014
32763,23277
32764,3165
32765,64268
32766,16855
32767,3334
32771,56266
32773,31225
32776,12029
32778,22454
32779,29603
32780,36116
32784,12371
32789,26483
32792,51659
32796,20609
32798,2882
32801,12243
32803,20148
32804,18023
32805,18908
32806,27661
32807,34749
32808,59291
32809,29095
32810,37861
32811,41057
32812,35855
32814,8021
32817,35737
32818,58198
32819,27840
32820,10442
32821,17680
32822,61760
32824,46482
32825,61289
32826,35981
32827,9427
32828,69497
32829,20376
32830,6
32831,3228
32832,27919
32833,9857
32835,48078
32836,20053
32837,51310
