Zipcode,White
32003,25726
32008,4225
32009,3633
32011,13914
32024,17863
32025,17053
32026,756
32033,3670
32034,32999
32038,9119
32040,6822
32043,23472
32044,1636
32046,8723
32052,5495
32053,2598
32054,9280
32055,10970
32058,3315
32059,1824
32060,20195
32061,514
32062,1746
32063,11676
32064,5081
32065,27021
32066,6016
32068,52039
32071,3846
32072,203
32073,30072
32079,441
32080,21767
32081,13209
32082,29358
32083,2523
32084,29188
32086,27835
32087,4978
32091,12175
32092,33977
32094,2326
32095,10914
32096,1672
32097,16667
32102,2176
32110,7133
32112,6476
32113,4222
32114,15383
32117,17169
32118,16289
32119,18834
32124,4481
32127,28076
32128,19073
32129,19247
32130,5083
32131,3254
32132,7251
32133,17
32134,7699
32136,7934
32137,38013
32139,875
32140,1439
32141,17909
32145,4486
32147,790
32148,10227
32157,357
32159,28112
32162,53812
32164,37532
32168,25655
32169,10052
32174,47752
32176,13792
32177,19470
32179,7181
32180,3787
32181,2336
32187,1403
32189,5439
32190,682
32193,423
32195,2752
32202,2603
32204,5007
32205,22022
32206,4450
32207,25132
32208,5673
32209,2016
32210,34861
32211,20203
32212,1933
32216,26186
32217,16190
32218,29126
32219,4596
32220,10293
32221,18355
32222,5965
32223,22801
32224,37272
32225,42223
32226,12609
32227,2551
32228,387
32233,21118
32234,5279
32244,31650
32246,35132
32250,25991
32254,5159
32256,32869
32257,31117
32258,25579
32259,46929
32266,6761
32277,17073
32301,14941
32303,30450
32304,28461
32305,8518
32308,16414
32309,26066
32310,6762
32311,14126
32312,27172
32317,12199
32320,2961
32321,4824
32322,2934
32323,137
32324,2130
32327,23512
32328,3302
32330,356
32331,2656
32332,130
32333,6300
32334,1990
32336,619
32340,6092
32343,344
32344,7623
32346,1933
32347,6736
32348,8818
32350,1177
32351,7499
32352,1778
32355,244
32356,0
32358,1599
32359,1235
32361,370
32399,0
32401,15213
32403,2082
32404,31360
32405,26411
32407,9709
32408,17364
32409,9838
32410,943
32413,13546
32420,1897
32421,4662
32423,742
32424,5346
32425,12067
32426,245
32427,789
32428,14307
32430,1138
32431,3462
32432,0
32433,15310
32435,6739
32437,532
32438,3760
32439,9180
32440,5761
32442,2857
32443,1798
32444,19581
32445,1488
32446,8358
32447,31
32448,5081
32449,552
32455,3798
32456,6650
32459,16578
32460,3902
32461,36
32462,2754
32463,193
32464,4187
32465,6373
32466,5503
32501,4655
32502,2592
32503,23019
32504,17696
32505,13869
32506,26457
32507,24031
32508,4318
32509,416
32511,881
32514,31292
32526,30116
32530,40
32531,5385
32533,23881
32534,10053
32535,4033
32536,20201
32539,24934
32541,16994
32542,2379
32544,1483
32547,25325
32548,16799
32550,7245
32561,9431
32563,24207
32564,2876
32565,4754
32566,34487
32567,2750
32568,2631
32569,10000
32570,27639
32571,33223
32577,4184
32578,29475
32579,8583
32580,3908
32583,24637
32601,13536
32603,5385
32605,21447
32606,18464
32607,21302
32608,34904
32609,11107
32612,5702
32615,10505
32616,655
32617,3572
32618,7042
32619,5606
32621,4433
32622,923
32625,1686
32626,7677
32628,4059
32631,142
32639,194
32640,8639
32641,4390
32643,10507
32648,373
32653,10871
32656,14864
32658,312
32664,391
32666,5967
32667,3342
32668,4650
32669,12107
32680,9639
32681,31
32683,265
32686,3383
32692,160
32693,10615
32694,1685
32696,10364
32697,245
32701,16183
32702,2556
32703,34544
32707,29402
32708,38899
32709,1730
32712,36928
32713,19076
32714,29333
32720,26690
32724,30982
32725,38466
32726,17315
32730,4470
32732,4499
32735,4381
32736,10416
32738,35619
32744,3508
32746,35928
32750,21752
32751,16976
32754,10236
32757,22964
32759,2700
32763,19746
32764,2988
32765,51770
32766,14711
32767,3324
32771,34634
32773,20499
32776,10547
32778,18773
32779,26496
32780,29495
32784,11454
32789,23165
32792,40689
32796,17665
32798,2646
32801,10071
32803,17807
32804,15782
32805,3841
32806,24325
32807,26291
32808,11376
32809,19447
32810,20659
32811,14628
32812,28800
32814,6854
32817,26208
32818,12976
32819,19709
32820,8454
32821,13610
32822,49582
32824,32602
32825,46384
32826,30353
32827,7702
32828,52118
32829,15457
32830,6
32831,2058
32832,22002
32833,8167
32835,29169
32836,14522
32837,34068
32839,24201
32901,18638
32903,13973
32904,28072
32905,18627
32907,34196
32908,10546
32909,23634
32920,9887
32922,9251
32925,1183
32926,18403
32927,25041
32931,13247
32934,17251
32935,36215
32937,25962
32940,38102
32948,6462
32949,2379
32950,4270
32951,11714
32952,20130
32953,21740
32955,32667
32958,27016
32960,18768
32962,23529
32963,14807
32966,17332
32967,16195
32968,12089
32970,0
32976,9025
33001,302
33004,10798
33009,31632
33010,40234
33012,69970
33013,30376
33014,38510
33015,56290
33016,47700
33018,49694
33019,13114
33020,30546
33021,38681
33023,29641
33024,46528
33025,29598
33026,24101
33027,40205
33028,19310
33029,36295
33030,25427
33031,6494
33032,33847
33033,45778
33034,12584
33035,11823
33036,3333
33037,10431
33039,250
33040,28235
33042,6416
33043,4785
33050,8615
33051,509
33054,9149
33055,26350
33056,6080
33060,20694
33062,21644
33063,37081
33064,39869
33065,34944
33066,13685
33067,20766
33068,18406
33069,15111
33070,4929
33071,29722
33073,28452
33076,31257
33101,0
33109,391
33122,132
33125,54609
33126,50874
33127,12251
33128,6996
33129,12841
33130,26951
33131,16623
33132,11083
33133,30484
33134,38589
33135,37029
33136,7366
33137,16198
33138,17454
33139,28473
33140,17474
33141,29047
33142,31442
33143,27109
33144,27986
33145,28608
33146,14991
33147,14856
33149,12624
33150,4932
33154,12752
33155,44832
33156,30205
33157,48995
33158,5802
33160,35906
33161,17488
33162,18089
33165,53682
33166,22007
33167,5672
33168,7224
33169,6524
33170,9367
33172,41155
33173,29816
33174,31258
33175,51621
33176,41001
33177,46589
33178,48770
33179,23774
33180,30689
33181,12442
33182,14992
33183,34466
33184,21031
33185,28268
33186,59756
33187,16340
33189,19046
33190,12336
33193,46426
33194,6476
33196,43587
33301,13127
33304,14255
33305,11103
33306,2930
33308,25478
33309,20175
33311,10715
33312,34083
33313,10972
33314,18231
33315,11989
33316,8323
33317,25078
33319,16329
33321,31163
33322,28167
33323,16051
33324,36510
33325,24453
33326,28439
33327,20829
33328,24197
33330,12399
33331,21488
33332,9781
33334,22653
33351,18662
33401,16045
33403,6569
33404,8352
33405,18217
33406,22850
33407,10376
33408,17169
33409,18243
33410,30851
33411,49984
33412,12335
33413,11391
33414,48585
33415,38392
33417,20154
33418,35956
33426,18260
33428,35826
33430,8928
33431,18865
33432,18284
33433,36011
33434,18143
33435,20774
33436,32031
33437,32881
33438,319
33440,14472
33441,16832
33442,24742
33444,11579
33445,22251
33446,23487
33449,10594
33455,20168
33458,52728
33460,24435
33461,35371
33462,25354
33463,40076
33467,46479
33469,14413
33470,22872
33471,5118
33472,17046
33473,9889
33476,2375
33477,12285
33478,13655
33480,9589
33483,11811
33484,23315
33486,20110
33487,18789
33493,2381
33496,20759
33498,13370
33503,130
33510,21314
33511,43145
33513,10923
33514,2515
33521,221
33523,16345
33525,18285
33527,12800
33534,12377
33538,4574
33540,8312
33541,19004
33542,20546
33543,22496
33544,23665
33545,14717
33547,22925
33548,6481
33549,15257
33556,20179
33558,21301
33559,14596
33563,19071
33565,16107
33566,18809
33567,9756
33569,21533
33570,20654
33572,17290
33573,20946
33576,4399
33578,35517
33579,25916
33584,21262
33585,1015
33592,9673
33594,27637
33596,26368
33597,6962
33598,11199
33602,11735
33603,14735
33604,27734
33605,7459
33606,18239
33607,16357
33609,16480
33610,17696
33611,28751
33612,30746
33613,24420
33614,38273
33615,38073
33616,13137
33617,26198
33618,23178
33619,20308
33620,4084
33621,1864
33624,33066
33625,21846
33626,25786
33629,25553
33634,17188
33635,15304
33637,11695
33647,46216
33701,12834
33702,26898
33703,23662
33704,16105
33705,12758
33706,15595
33707,22270
33708,15547
33709,21002
33710,30616
33711,8973
33712,7113
33713,25481
33714,16845
33715,7114
33716,13883
33744,88
33755,18999
33756,28038
33759,16347
33760,12634
33761,18236
33762,6768
33763,18136
33764,24653
33765,12735
33767,7075
33770,24147
33771,27573
33772,21861
33773,15302
33774,16279
33776,12949
33777,15481
33778,12321
33781,20102
33782,19853
33785,5322
33786,1502
33801,27185
33803,25569
33805,13536
33809,25846
33810,41251
33811,19643
33812,11060
33813,34529
33815,8810
33823,29319
33825,18120
33827,2747
33830,21391
33834,5525
33837,25347
33838,3147
33839,3082
33841,7112
33843,9576
33844,27205
33847,155
33848,750
33849,1025
33850,6047
33851,1087
33852,19240
33853,8281
33854,267
33855,0
33856,241
33857,2158
33859,9000
33860,20830
33865,863
33867,327
33868,10820
33870,16986
