State,Zipcode,Recipients_Total,Grants_Total,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
Florida,32003,4,388781.2,28676.0,2248.0,25726.0,26761.0,1915.0,86000US32003,111651.0,3.81,1089.0,No
Florida,32008,1,19010.56,4425.0,59.0,4225.0,3997.0,428.0,86000US32008,42172.0,12.02,529.0,No
Florida,32011,1,36330.0,14509.0,567.0,13914.0,14395.0,114.0,86000US32011,71701.0,9.28,1338.0,No
Florida,32024,3,161550.52,19452.0,1083.0,17863.0,18063.0,1389.0,86000US32024,74137.0,8.35,1617.0,No
Florida,32025,3,106791.72,23416.0,5751.0,17053.0,21525.0,1891.0,86000US32025,59197.0,14.07,2665.0,No
Florida,32033,1,6860.95,4676.0,900.0,3670.0,4262.0,414.0,86000US32033,69541.0,23.57,1102.0,No
Florida,32034,11,2536967.13,36395.0,2362.0,32999.0,34256.0,2139.0,86000US32034,98304.0,9.55,3459.0,No
Florida,32038,1,2013.0,10184.0,1041.0,9119.0,9651.0,533.0,86000US32038,49238.0,16.13,1643.0,No
Florida,32043,2,72298.76,26743.0,2774.0,23472.0,24331.0,2412.0,86000US32043,76895.0,10.8,2810.0,No
Florida,32052,1,70484.59,9427.0,3945.0,5495.0,8753.0,674.0,86000US32052,52128.0,25.03,1535.0,No
Florida,32054,1,297764.0,11811.0,2379.0,9280.0,11169.0,642.0,86000US32054,53873.0,19.73,1618.0,No
Florida,32055,3,277577.13,16590.0,5496.0,10970.0,16004.0,586.0,86000US32055,55085.0,26.51,4272.0,No
Florida,32058,1,56583.1,4368.0,1023.0,3315.0,4306.0,62.0,86000US32058,45156.0,24.79,868.0,No
Florida,32060,1,232198.0,24064.0,3694.0,20195.0,21835.0,2229.0,86000US32060,56615.0,15.89,3663.0,No
Florida,32063,3,309493.0,13482.0,1586.0,11676.0,13190.0,292.0,86000US32063,75769.0,8.63,1070.0,No
Florida,32065,5,660056.72,37195.0,7296.0,27021.0,31983.0,5212.0,86000US32065,80491.0,7.97,2953.0,No
Florida,32066,3,159953.71,7420.0,1497.0,6016.0,6353.0,1067.0,86000US32066,60188.0,13.03,770.0,No
Florida,32068,3,255787.6,57305.0,4456.0,52039.0,52708.0,4597.0,86000US32068,67148.0,13.1,7470.0,No
Florida,32073,14,5812029.66,42520.0,10152.0,30072.0,36476.0,6044.0,86000US32073,70537.0,11.37,4763.0,No
Florida,32080,12,2724122.62,22261.0,216.0,21767.0,21462.0,799.0,86000US32080,94231.0,9.65,2145.0,No
Florida,32081,3,1539105.27,14856.0,258.0,13209.0,13651.0,1205.0,86000US32081,126826.0,1.33,198.0,No
Florida,32082,4,200021.19,30539.0,669.0,29358.0,29425.0,1114.0,86000US32082,139932.0,4.6,1396.0,No
Florida,32084,17,3238677.09,35761.0,5715.0,29188.0,32543.0,3218.0,86000US32084,68473.0,18.99,6525.0,No
Florida,32086,9,1797313.3,29580.0,741.0,27835.0,27670.0,1910.0,86000US32086,70106.0,9.09,2663.0,No
Florida,32091,1,10241.0,15256.0,3096.0,12175.0,14533.0,723.0,86000US32091,53381.0,24.0,3553.0,No
Florida,32092,6,1259589.5,37014.0,1988.0,33977.0,33460.0,3554.0,86000US32092,97053.0,6.23,2280.0,No
Florida,32095,1,46609.0,11800.0,577.0,10914.0,11239.0,561.0,86000US32095,105603.0,6.15,717.0,No
Florida,32096,1,10792.5,2186.0,509.0,1672.0,2093.0,93.0,86000US32096,47614.0,17.01,369.0,No
Florida,32097,3,293946.0,19030.0,2078.0,16667.0,18077.0,953.0,86000US32097,75417.0,13.52,2519.0,No
Florida,32110,2,74112.0,8267.0,949.0,7133.0,7326.0,941.0,86000US32110,47462.0,20.68,1640.0,No
Florida,32114,11,4674439.47,32847.0,16941.0,15383.0,30371.0,2476.0,86000US32114,39984.0,31.97,9647.0,No
Florida,32117,5,410378.94,26425.0,7801.0,17169.0,23771.0,2654.0,86000US32117,46098.0,21.15,5483.0,No
Florida,32118,14,3242774.69,17520.0,758.0,16289.0,16477.0,1043.0,86000US32118,60607.0,15.23,2667.0,No
Florida,32119,2,93160.0,22344.0,2773.0,18834.0,20382.0,1962.0,86000US32119,52166.0,16.89,3759.0,No
Florida,32127,8,2179296.59,30398.0,1446.0,28076.0,28122.0,2276.0,86000US32127,66180.0,15.04,4547.0,No
Florida,32128,2,2029637.0,21183.0,1182.0,19073.0,20108.0,1075.0,86000US32128,95453.0,10.08,2129.0,No
Florida,32129,2,167178.0,22185.0,1420.0,19247.0,20490.0,1695.0,86000US32129,60822.0,15.32,3396.0,No
Florida,32132,3,314839.53,7570.0,298.0,7251.0,7454.0,116.0,86000US32132,60911.0,11.66,879.0,No
Florida,32136,6,584558.51,8306.0,232.0,7934.0,7970.0,336.0,86000US32136,71014.0,10.34,859.0,No
Florida,32137,9,882935.24,43876.0,3545.0,38013.0,39397.0,4479.0,86000US32137,68711.0,12.19,5296.0,No
Florida,32148,1,5638.27,10710.0,565.0,10227.0,9506.0,1204.0,86000US32148,38611.0,27.16,2859.0,No
Florida,32159,5,526641.43,29920.0,858.0,28112.0,28296.0,1624.0,86000US32159,58492.0,10.83,3211.0,No
Florida,32162,15,8686094.22,54951.0,274.0,53812.0,54297.0,654.0,86000US32162,74226.0,4.69,2572.0,No
Florida,32163,6,1795949.63,,,,,,,,,,
Florida,32164,5,774410.03,47341.0,7449.0,37532.0,41647.0,5694.0,86000US32164,55469.0,11.75,5527.0,No
Florida,32168,7,662302.03,27679.0,1522.0,25655.0,26858.0,821.0,86000US32168,71644.0,11.9,3287.0,No
Florida,32169,1,33174.0,10228.0,45.0,10052.0,10023.0,205.0,86000US32169,90679.0,5.86,588.0,No
Florida,32174,10,1582532.72,51165.0,2473.0,47752.0,48202.0,2963.0,86000US32174,68178.0,8.46,4265.0,No
Florida,32176,5,412198.98,14460.0,398.0,13792.0,13665.0,795.0,86000US32176,64951.0,12.05,1740.0,No
Florida,32177,5,1863726.08,26845.0,7270.0,19470.0,25031.0,1814.0,86000US32177,46431.0,25.17,6624.0,No
Florida,32179,1,199024.22,7919.0,697.0,7181.0,7602.0,317.0,86000US32179,41771.0,23.13,1832.0,No
Florida,32202,15,3016385.05,6523.0,3677.0,2603.0,6188.0,335.0,86000US32202,38590.0,45.77,1748.0,No
Florida,32204,11,1958861.55,7547.0,1932.0,5007.0,7076.0,471.0,86000US32204,60809.0,26.99,1941.0,No
Florida,32205,6,2123750.74,30305.0,7841.0,22022.0,27734.0,2571.0,86000US32205,60879.0,19.14,5777.0,No
