Zipcode,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
32003,28676.0,2248.0,25726.0,26761.0,1915.0,86000US32003,111651.0,3.81,1089.0,No
32004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32008,4425.0,59.0,4225.0,3997.0,428.0,86000US32008,42172.0,12.02,529.0,No
32009,3661.0,50.0,3633.0,3544.0,117.0,86000US32009,90500.0,4.22,154.0,No
32011,14509.0,567.0,13914.0,14395.0,114.0,86000US32011,71701.0,9.28,1338.0,No
32013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32024,19452.0,1083.0,17863.0,18063.0,1389.0,86000US32024,74137.0,8.35,1617.0,No
32025,23416.0,5751.0,17053.0,21525.0,1891.0,86000US32025,59197.0,14.07,2665.0,No
32026,2002.0,1199.0,756.0,1779.0,223.0,86000US32026,N/A,N/A,N/A,No
32030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32033,4676.0,900.0,3670.0,4262.0,414.0,86000US32033,69541.0,23.57,1102.0,No
32034,36395.0,2362.0,32999.0,34256.0,2139.0,86000US32034,98304.0,9.55,3459.0,No
32035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32038,10184.0,1041.0,9119.0,9651.0,533.0,86000US32038,49238.0,16.13,1643.0,No
32040,7329.0,420.0,6822.0,7154.0,175.0,86000US32040,62037.0,19.44,1420.0,No
32041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32043,26743.0,2774.0,23472.0,24331.0,2412.0,86000US32043,76895.0,10.8,2810.0,No
32044,1711.0,75.0,1636.0,1711.0,0.0,86000US32044,58903.0,27.94,478.0,No
32046,9418.0,434.0,8723.0,9162.0,256.0,86000US32046,67442.0,13.03,1210.0,No
32050,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32052,9427.0,3945.0,5495.0,8753.0,674.0,86000US32052,52128.0,25.03,1535.0,No
32053,3538.0,637.0,2598.0,2916.0,622.0,86000US32053,43077.0,40.93,1448.0,No
32054,11811.0,2379.0,9280.0,11169.0,642.0,86000US32054,53873.0,19.73,1618.0,No
32055,16590.0,5496.0,10970.0,16004.0,586.0,86000US32055,55085.0,26.51,4272.0,No
32056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32058,4368.0,1023.0,3315.0,4306.0,62.0,86000US32058,45156.0,24.79,868.0,No
32059,2418.0,443.0,1824.0,2173.0,245.0,86000US32059,49653.0,17.48,408.0,No
32060,24064.0,3694.0,20195.0,21835.0,2229.0,86000US32060,56615.0,15.89,3663.0,No
32061,514.0,0.0,514.0,514.0,0.0,86000US32061,85375.0,35.21,181.0,No
32062,1826.0,80.0,1746.0,1629.0,197.0,86000US32062,66447.0,11.14,200.0,No
32063,13482.0,1586.0,11676.0,13190.0,292.0,86000US32063,75769.0,8.63,1070.0,No
32064,6890.0,2268.0,5081.0,5839.0,1051.0,86000US32064,49444.0,13.63,882.0,No
32065,37195.0,7296.0,27021.0,31983.0,5212.0,86000US32065,80491.0,7.97,2953.0,No
32066,7420.0,1497.0,6016.0,6353.0,1067.0,86000US32066,60188.0,13.03,770.0,No
32067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32068,57305.0,4456.0,52039.0,52708.0,4597.0,86000US32068,67148.0,13.1,7470.0,No
32071,3903.0,98.0,3846.0,3660.0,243.0,86000US32071,36797.0,19.81,753.0,No
32072,211.0,8.0,203.0,211.0,0.0,86000US32072,N/A,20.85,44.0,No
32073,42520.0,10152.0,30072.0,36476.0,6044.0,86000US32073,70537.0,11.37,4763.0,No
32079,451.0,10.0,441.0,451.0,0.0,86000US32079,75875.0,12.19,44.0,No
32080,22261.0,216.0,21767.0,21462.0,799.0,86000US32080,94231.0,9.65,2145.0,No
32081,14856.0,258.0,13209.0,13651.0,1205.0,86000US32081,126826.0,1.33,198.0,No
32082,30539.0,669.0,29358.0,29425.0,1114.0,86000US32082,139932.0,4.6,1396.0,No
32083,4115.0,1443.0,2523.0,3834.0,281.0,86000US32083,57083.0,19.91,274.0,No
32084,35761.0,5715.0,29188.0,32543.0,3218.0,86000US32084,68473.0,18.99,6525.0,No
32085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32086,29580.0,741.0,27835.0,27670.0,1910.0,86000US32086,70106.0,9.09,2663.0,No
32087,7097.0,2133.0,4978.0,6843.0,254.0,86000US32087,69167.0,9.47,483.0,No
32091,15256.0,3096.0,12175.0,14533.0,723.0,86000US32091,53381.0,24.0,3553.0,No
32092,37014.0,1988.0,33977.0,33460.0,3554.0,86000US32092,97053.0,6.23,2280.0,No
32094,2575.0,132.0,2326.0,2357.0,218.0,86000US32094,74226.0,8.28,189.0,No
32095,11800.0,577.0,10914.0,11239.0,561.0,86000US32095,105603.0,6.15,717.0,No
32096,2186.0,509.0,1672.0,2093.0,93.0,86000US32096,47614.0,17.01,369.0,No
32097,19030.0,2078.0,16667.0,18077.0,953.0,86000US32097,75417.0,13.52,2519.0,No
32099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32102,2283.0,152.0,2176.0,1919.0,364.0,86000US32102,59219.0,18.83,430.0,No
32105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32110,8267.0,949.0,7133.0,7326.0,941.0,86000US32110,47462.0,20.68,1640.0,No
32111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32112,7646.0,908.0,6476.0,4591.0,3055.0,86000US32112,43163.0,27.58,2087.0,No
32113,5216.0,1114.0,4222.0,4623.0,593.0,86000US32113,37212.0,30.65,1575.0,No
32114,32847.0,16941.0,15383.0,30371.0,2476.0,86000US32114,39984.0,31.97,9647.0,No
32115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32117,26425.0,7801.0,17169.0,23771.0,2654.0,86000US32117,46098.0,21.15,5483.0,No
32118,17520.0,758.0,16289.0,16477.0,1043.0,86000US32118,60607.0,15.23,2667.0,No
32119,22344.0,2773.0,18834.0,20382.0,1962.0,86000US32119,52166.0,16.89,3759.0,No
32120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32124,6117.0,1334.0,4481.0,5584.0,533.0,86000US32124,76944.0,13.14,552.0,No
32125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32127,30398.0,1446.0,28076.0,28122.0,2276.0,86000US32127,66180.0,15.04,4547.0,No
32128,21183.0,1182.0,19073.0,20108.0,1075.0,86000US32128,95453.0,10.08,2129.0,No
32129,22185.0,1420.0,19247.0,20490.0,1695.0,86000US32129,60822.0,15.32,3396.0,No
32130,5703.0,122.0,5083.0,3993.0,1710.0,86000US32130,56905.0,16.83,960.0,No
32131,4365.0,1041.0,3254.0,4110.0,255.0,86000US32131,59274.0,14.95,566.0,No
32132,7570.0,298.0,7251.0,7454.0,116.0,86000US32132,60911.0,11.66,879.0,No
32133,17.0,0.0,17.0,17.0,0.0,86000US32133,N/A,100.0,17.0,No
32134,7754.0,30.0,7699.0,7239.0,515.0,86000US32134,46327.0,27.64,2125.0,No
32135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32136,8306.0,232.0,7934.0,7970.0,336.0,86000US32136,71014.0,10.34,859.0,No
32137,43876.0,3545.0,38013.0,39397.0,4479.0,86000US32137,68711.0,12.19,5296.0,No
32138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32139,971.0,13.0,875.0,832.0,139.0,86000US32139,36667.0,25.75,250.0,No
